K,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.7753164556962026,0.7759504197776276,0.7753164556962026,0.7741699568612073,1.2606975032270589
2,0.7745253164556962,0.7749988231402918,0.7745253164556962,0.7733260241891325,1.261488642467565
3,0.7974683544303798,0.7975480352730812,0.7974683544303798,0.7960289776534134,1.2032328408997666
4,0.8045886075949367,0.8053444980590494,0.8045886075949367,0.8012839910990808,1.171293830060944
5,0.7998417721518988,0.8013650783658179,0.7998417721518988,0.7961084518427571,1.17313740598761
6,0.8069620253164557,0.8062087798294544,0.8069620253164557,0.8020649240093561,1.1442049444032998
7,0.807753164556962,0.8062255987111173,0.807753164556962,0.8029653405665161,1.143121517183476
8,0.8125,0.811518834145141,0.8125,0.8064027628507149,1.1347112735172238
9,0.803006329113924,0.8019580746202363,0.803006329113924,0.7973899503850568,1.1545899730344182
10,0.8061708860759493,0.8059494977410587,0.8061708860759493,0.8002552289330337,1.1404559183884977
11,0.817246835443038,0.817283344295959,0.817246835443038,0.8116086466752558,1.1307629311240954
12,0.8243670886075949,0.8246735735094282,0.8243670886075949,0.8184568669069358,1.110200771586191
13,0.8204113924050633,0.8222236187793386,0.8204113924050633,0.8147121822810225,1.1291084929529696
14,0.8243670886075949,0.8245018003501773,0.8243670886075949,0.8184223123862266,1.1166215226687717
15,0.8299050632911392,0.8311507138983044,0.8299050632911392,0.8245936556274498,1.1097005858825413
16,0.8188291139240507,0.8200039770551287,0.8188291139240507,0.8128852421369201,1.126668672073961
17,0.821993670886076,0.8233269565187143,0.821993670886076,0.8162795741397106,1.1210658915097065
18,0.8235759493670886,0.826161975017086,0.8235759493670886,0.8178530862067248,1.1142452801338698
19,0.8212025316455697,0.8225138879086094,0.8212025316455697,0.8157703428837084,1.121064294232927
20,0.821993670886076,0.8232802090427854,0.821993670886076,0.8163392477108242,1.1083132016896926
21,0.8259493670886076,0.8272076833506665,0.8259493670886076,0.820342742767379,1.103374403677731
22,0.8259493670886076,0.8266927936474333,0.8259493670886076,0.819493434761094,1.1065006162966895
23,0.8267405063291139,0.8276003997824064,0.8267405063291139,0.8204194889167565,1.1046216277461975
24,0.8251582278481012,0.826343776577536,0.8251582278481012,0.8190724279097839,1.1023501327118517
25,0.8227848101265823,0.8238619582536005,0.8227848101265823,0.816946952395328,1.1146067960840598
26,0.8204113924050633,0.8218487260526005,0.8204113924050633,0.8138343209558903,1.1067692675517466
27,0.817246835443038,0.816708834239612,0.817246835443038,0.809889835320687,1.1148754473391163
28,0.819620253164557,0.821161493849088,0.819620253164557,0.8135485112990991,1.1114141803076112
29,0.8212025316455697,0.8227794985441369,0.8212025316455697,0.8150412948998402,1.1088539999456652
