N,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.6985759493670886,0.7113299202721965,0.6985759493670886,0.7036326509761139,1.069240084726566
2,0.7302215189873418,0.7231751530983883,0.7302215189873418,0.7174459762420817,1.5333986856340893
3,0.7626582278481012,0.756162912501249,0.7626582278481012,0.7563159973152178,0.9406618918112921
4,0.747626582278481,0.7387181490930175,0.747626582278481,0.7377278138051708,1.1278134648027969
5,0.7824367088607594,0.776872665196867,0.7824367088607594,0.7765192926158717,0.9078164603985724
6,0.7856012658227848,0.779145277152729,0.7856012658227848,0.7752379540069873,1.0695993255510634
7,0.7879746835443038,0.7782648344011893,0.7879746835443038,0.7785287340744627,0.8905160180827479
8,0.7761075949367089,0.7651217578243339,0.7761075949367089,0.7663381466842957,1.091093777018356
9,0.7998417721518988,0.7944257703905315,0.7998417721518988,0.7926211078102573,1.0589556754134926
10,0.7895569620253164,0.7813469775138752,0.7895569620253164,0.7803195697376393,1.4684873692162292
11,0.7824367088607594,0.7729939987253348,0.7824367088607594,0.7745141607498504,1.0803530754358053
12,0.7990506329113924,0.7927364495739117,0.7990506329113924,0.7912878501018306,0.8623054303230936
13,0.7974683544303798,0.7914647380037638,0.7974683544303798,0.7894840832092586,0.8655734204528223
14,0.8037974683544303,0.7940909927338581,0.8037974683544303,0.7929521829398755,1.048654324552752
15,0.8022151898734177,0.7974091760508017,0.8022151898734177,0.7923191091587826,0.8626215886292118
16,0.8085443037974683,0.8020164079188353,0.8085443037974683,0.7991994636674488,1.0421695650471792
17,0.7974683544303798,0.7868961204432715,0.7974683544303798,0.786079564480412,0.8693735761184543
18,0.8037974683544303,0.7970894087346099,0.8037974683544303,0.7960766569164077,0.8678183826274097
19,0.8037974683544303,0.796810093867357,0.8037974683544303,0.7922098463240499,0.8458815055567832
20,0.805379746835443,0.7975969299825184,0.805379746835443,0.7961944384874264,0.850466458094393
21,0.8045886075949367,0.7977488041186118,0.8045886075949367,0.7933805100819472,1.054081683282241
22,0.8037974683544303,0.7952828706134167,0.8037974683544303,0.7935978613080917,0.8559177588410095
23,0.8093354430379747,0.8029337958072518,0.8093354430379747,0.7990871535710502,0.8478227918410374
24,0.810126582278481,0.8012921128452886,0.810126582278481,0.7981598807732264,0.8493027596463272
