N,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.9161392405063291,0.9196571744065355,0.9161392405063291,0.9166106037460149,1.780511782715694
2,0.935126582278481,0.9374292327316259,0.935126582278481,0.9355018573474293,1.1004865245104427
3,0.932753164556962,0.9367626776871198,0.932753164556962,0.9333100071948642,1.1056842448529443
4,0.9367088607594937,0.9377460885619139,0.9367088607594937,0.9367451166941179,0.8961508387707586
5,0.9462025316455697,0.9490750437733191,0.9462025316455697,0.9467455181153236,0.6852644432563244
6,0.9414556962025317,0.9430491866714613,0.9414556962025317,0.9417512819024757,0.6993372197484972
7,0.9414556962025317,0.943966207535099,0.9414556962025317,0.9419904006032795,0.7019689806387269
8,0.939873417721519,0.9418770585730124,0.939873417721519,0.9400772440887588,0.8941293027838785
9,0.9414556962025317,0.9431971790224658,0.9414556962025317,0.9416628961023213,0.8883929380663111
10,0.9390822784810127,0.941636056873301,0.9390822784810127,0.9393986465148653,0.8945927414212418
11,0.9406645569620253,0.9421556838338216,0.9406645569620253,0.9407960945080314,0.8920961394034023
12,0.939873417721519,0.9425569274559165,0.939873417721519,0.9402500672983741,0.8944570033870218
13,0.9406645569620253,0.9425065047007132,0.9406645569620253,0.9408855217258559,0.8933381635433721
14,0.9406645569620253,0.9423565829253593,0.9406645569620253,0.9411085665763013,0.7061850705003112
15,0.9390822784810127,0.9414450728913302,0.9390822784810127,0.9394789574570758,0.7011883509345621
16,0.9406645569620253,0.9433928272903982,0.9406645569620253,0.9410968244925629,0.8923602616624389
17,0.944620253164557,0.9471520822670831,0.944620253164557,0.9451132680390517,0.6909234483552823
18,0.9390822784810127,0.9410382479370806,0.9390822784810127,0.9394877505506105,0.8983417674360438
19,0.9406645569620253,0.9425631182103192,0.9406645569620253,0.9409792860601341,0.7003388332784455
20,0.9454113924050633,0.9462570179507839,0.9454113924050633,0.945517720309899,0.8876738488365691
21,0.9414556962025317,0.9432553040887681,0.9414556962025317,0.9417644601876255,0.8918968230250758
22,0.9414556962025317,0.9433651436699765,0.9414556962025317,0.9417438996346842,0.6947434065235941
23,0.9375,0.9400246467329013,0.9375,0.9378871391362947,0.901962409226029
24,0.939873417721519,0.9422657389036031,0.939873417721519,0.9403158528620751,0.8989387902267199
25,0.9390822784810127,0.9413921103327475,0.9390822784810127,0.9394403080536958,0.8959809034524243
26,0.9390822784810127,0.9408801231659004,0.9390822784810127,0.9393726968763135,0.8986694680391871
27,0.9430379746835443,0.9452025905865181,0.9430379746835443,0.94341781039504,0.8916975066467492
28,0.939873417721519,0.942633087948011,0.939873417721519,0.9402967226257608,0.8975506281955374
29,0.9430379746835443,0.9451781578204552,0.9430379746835443,0.9433455723025104,0.6924283672176855
30,0.942246835443038,0.9440161168596084,0.942246835443038,0.9425027822128075,0.892816346490399
31,0.9438291139240507,0.9454977446342366,0.9438291139240507,0.9440566708271071,0.8878127425977274
32,0.9438291139240507,0.9457565385527172,0.9438291139240507,0.9440951533119526,0.8874850419945842
33,0.9406645569620253,0.9428200203288274,0.9406645569620253,0.940970992674278,0.6972452084699299
34,0.9414556962025317,0.9436819130248971,0.9414556962025317,0.9417772624765942,0.8912414218187893
35,0.942246835443038,0.9444652874173081,0.942246835443038,0.9427053905423632,0.6956629299889173
36,0.9438291139240507,0.9459032416633413,0.9438291139240507,0.9441406629472369,0.8878127425977274
37,0.9430379746835443,0.9444605489337804,0.9430379746835443,0.9432350839163753,0.8882761812350904
38,0.9430379746835443,0.9446601213404613,0.9430379746835443,0.9432213880198624,0.8872209197355476
39,0.942246835443038,0.9448388414119683,0.942246835443038,0.9426953657277216,0.6953352293857741
40,0.942246835443038,0.9447034620934613,0.942246835443038,0.9426391527097379,0.6942747679577347
41,0.9382911392405063,0.9405630067476255,0.9382911392405063,0.9386048213852678,0.8964443420897873
42,0.9406645569620253,0.9429734557214742,0.9406645569620253,0.9410024444595679,0.6969175078667866
43,0.9430379746835443,0.9449879230150272,0.9430379746835443,0.9433823705344329,0.6945440901452676
44,0.9406645569620253,0.9427506019399731,0.9406645569620253,0.9409717630022716,0.8920325610592956
