K,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.8742088607594937,0.8758064297888779,0.8742088607594937,0.8744191968158381,0.7651761537901985
2,0.8742088607594937,0.8758064297888779,0.8742088607594937,0.8744191968158381,0.7651761537901985
3,0.9011075949367089,0.901865661055658,0.9011075949367089,0.9007533453283777,0.711149295032534
4,0.8963607594936709,0.8977757596215223,0.8963607594936709,0.8959379820815239,0.7236734492591923
5,0.9018987341772152,0.9036449576261539,0.9018987341772152,0.9010426670357787,0.5798998352384129
6,0.9034810126582279,0.9043415772880267,0.9034810126582279,0.9026919015798693,0.5748962313457415
7,0.9018987341772152,0.9035496721706792,0.9018987341772152,0.9011146640829123,0.710965123149187
8,0.9058544303797469,0.9075031747531692,0.9058544303797469,0.9051762295908091,0.5686964279908109
9,0.9058544303797469,0.9068995594067817,0.9058544303797469,0.9049534393084596,0.8308540436929844
10,0.9074367088607594,0.9082751924321353,0.9074367088607594,0.9064920225798249,0.9586263904169164
11,0.9066455696202531,0.906647136930134,0.9066455696202531,0.9051403995242057,0.9550183023648304
12,0.9066455696202531,0.9070782606987176,0.9066455696202531,0.9053089192194036,0.9559962042457639
13,0.9074367088607594,0.9076769644220685,0.9074367088607594,0.9060489690673083,0.952761641474532
14,0.9074367088607594,0.9089496420198474,0.9074367088607594,0.9058601910926538,0.9503182179438066
15,0.9058544303797469,0.9060823592990853,0.9058544303797469,0.9043322648265163,0.9533660180746113
16,0.9074367088607594,0.9082834774160805,0.9074367088607594,0.9057069038565974,0.9496680166660163
17,0.9018987341772152,0.9020037033534888,0.9018987341772152,0.8997505353204481,0.9569166540553902
18,0.9050632911392406,0.9055349022943141,0.9050632911392406,0.9030339044766371,0.9513086735626394
19,0.9082278481012658,0.9096193243982098,0.9082278481012658,0.9067140819107063,0.94887687742551
20,0.9098101265822784,0.9114364291852007,0.9098101265822784,0.9083532751433543,0.9448511754137721
21,0.9050632911392406,0.9071057873331125,0.9050632911392406,0.9034309360417294,0.8215824144777867
22,0.9066455696202531,0.9084906512468534,0.9066455696202531,0.9046175457682061,0.5513007265997145
23,0.9026898734177216,0.9042898565422047,0.9026898734177216,0.9005827098504293,0.5586777482139049
24,0.9026898734177216,0.904633053198445,0.9026898734177216,0.9004942959211969,0.5569670855080756
25,0.9018987341772152,0.9046977442147669,0.9018987341772152,0.899891885030572,0.5577582247485819
26,0.9058544303797469,0.9082054879883873,0.9058544303797469,0.9039014988392029,0.5520918658402209
27,0.9066455696202531,0.9084365553248114,0.9066455696202531,0.904446075597908,0.5503228247187811
28,0.9074367088607594,0.9094364220854676,0.9074367088607594,0.9055025821766935,0.5519751090090002
29,0.9026898734177216,0.9037792328575087,0.9026898734177216,0.9001729255275418,0.5603884109197343
