N,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.06329113924050633,0.16900035618390047,0.06329113924050633,0.06292523353208386,19.01914670985689
2,0.07357594936708861,0.21481314044605185,0.07357594936708861,0.06831772144688533,17.666007595682263
3,0.07120253164556962,0.1990964687562789,0.07120253164556962,0.06598374013675577,17.43809383863927
4,0.08306962025316456,0.22495786471842874,0.08306962025316456,0.07825853383606547,16.91414995572047
5,0.07753164556962025,0.21393044367727912,0.07753164556962025,0.07357929078656927,16.519734945232905
6,0.07515822784810126,0.20563980674740165,0.07515822784810126,0.0691738863229928,17.663803556804357
7,0.0949367088607595,0.22816863823588504,0.0949367088607595,0.09382852761948071,17.17162748792044
8,0.09098101265822785,0.19497595187864175,0.09098101265822785,0.0855227622237116,17.529774970222036
9,0.10443037974683544,0.21164658565766162,0.10443037974683544,0.10068678580871433,16.94445748812616
10,0.10047468354430379,0.21015853213242455,0.10047468354430379,0.09608765004334625,16.506483367864515
11,0.0981012658227848,0.20271927000566242,0.0981012658227848,0.09654112808780531,16.83862339552439
12,0.10047468354430379,0.22819124221418524,0.10047468354430379,0.09860392797613572,16.567319606495623
13,0.09731012658227849,0.21671470012055452,0.09731012658227849,0.09625357087894318,17.014415417299833
14,0.10917721518987342,0.23542859654410286,0.10917721518987342,0.10686561592416023,16.83345351756301
15,0.09889240506329114,0.1819469559975889,0.09889240506329114,0.09317120361540503,17.243571440261917
16,0.10917721518987342,0.22084651898734176,0.10917721518987342,0.10747182230568306,16.075529394314206
17,0.11392405063291139,0.22199342939058125,0.11392405063291139,0.10729427782225916,16.31242865968118
18,0.11313291139240507,0.21037730948727784,0.11313291139240507,0.10675581889980623,16.000235477333398
19,0.11787974683544304,0.20291685503315252,0.11787974683544304,0.1128736857376098,16.157234725524216
20,0.11550632911392406,0.21964536869600162,0.11550632911392406,0.11280142537821242,15.623756553611804
21,0.10284810126582279,0.2064094836246735,0.10284810126582279,0.10006750457699826,16.14279326186052
22,0.10363924050632911,0.21606389391199518,0.10363924050632911,0.10178949917873968,16.22676562566026
23,0.11550632911392406,0.25063856238698007,0.11550632911392406,0.11269533576169838,16.040969828790505
24,0.11234177215189874,0.22566587552742617,0.11234177215189874,0.11090668530402334,15.705129219767713
25,0.10996835443037975,0.2089461523005827,0.10996835443037975,0.10633733148625182,16.73728132269144
26,0.11787974683544304,0.23653085443037977,0.11787974683544304,0.11111703872779821,16.308900008330447
27,0.1194620253164557,0.2400335292344786,0.1194620253164557,0.11797538576671117,16.56852296621331
28,0.1281645569620253,0.25395852169981914,0.1281645569620253,0.12638259683354622,15.98390276388358
29,0.11550632911392406,0.23063027426160337,0.11550632911392406,0.10773014345008015,16.5631025713034
30,0.11392405063291139,0.2262284634317862,0.11392405063291139,0.10657226062801267,15.872865806155302
31,0.12183544303797468,0.23530270494273658,0.12183544303797468,0.11334024625163866,16.084043678983438
32,0.12579113924050633,0.24567108129212561,0.12579113924050633,0.1193435783625657,16.48844102321834
33,0.11867088607594936,0.23904931434599153,0.11867088607594936,0.11307626326474056,15.724932735436406
34,0.12579113924050633,0.2438314937523798,0.12579113924050633,0.12406545010434084,16.085014587751335
35,0.1115506329113924,0.22803207253365484,0.1115506329113924,0.10609549337793009,15.754900326171672
36,0.1281645569620253,0.2419131128189673,0.1281645569620253,0.12560936777708928,15.573505614537481
37,0.125,0.25222823282554296,0.125,0.11594431851552103,16.858461236047305
38,0.12183544303797468,0.2422647302591923,0.12183544303797468,0.11525488400488403,15.857227895638813
39,0.12579113924050633,0.23792413853727143,0.12579113924050633,0.11711173408167079,15.923177295320274
40,0.12658227848101267,0.25706364662060865,0.12658227848101267,0.11739721249214921,15.340414365316462
41,0.11234177215189874,0.27961261224710593,0.11234177215189874,0.10966623917573284,16.58509877098517
42,0.1115506329113924,0.22496609403254975,0.1115506329113924,0.10552492514517832,15.854886760308922
43,0.13212025316455697,0.2484379281056496,0.13212025316455697,0.12726442930265383,15.949720884878156
44,0.12341772151898735,0.26319946755073337,0.12341772151898735,0.1206499416546885,16.31063760248933
45,0.12579113924050633,0.23230453837653203,0.12579113924050633,0.12151502681565973,16.495691688975
46,0.13449367088607594,0.2625452079566004,0.13449367088607594,0.125229394374964,15.327534879847109
47,0.125,0.22590164757886277,0.125,0.12136981118389345,16.215694857297162
48,0.125,0.24885373285294174,0.125,0.12445764248520742,16.787780551609636
49,0.12341772151898735,0.24122714486638536,0.12341772151898735,0.1187899960447429,16.71422104741259
50,0.13132911392405064,0.26196786467751654,0.13132911392405064,0.12404355489798526,16.593612203387394
51,0.12579113924050633,0.24062531394414305,0.12579113924050633,0.12195757260444526,16.377155333658052
52,0.13132911392405064,0.25139736538075147,0.13132911392405064,0.12560897854317435,16.21960908527745
53,0.12183544303797468,0.2632996157323689,0.12183544303797468,0.12156544539269781,15.374076866790077
54,0.12658227848101267,0.25828310227044404,0.12658227848101267,0.12574082475190068,16.11519600533785
55,0.12579113924050633,0.2457312729464628,0.12579113924050633,0.11998239193068864,15.604011043195925
56,0.13765822784810128,0.2544247287522604,0.13765822784810128,0.13795063717927641,15.341181975735081
57,0.14794303797468356,0.27216979355033155,0.14794303797468356,0.14813643428219003,15.884664029778563
58,0.12262658227848101,0.23591709363070124,0.12262658227848101,0.11400195501321711,15.67035527158284
59,0.11787974683544304,0.23409544701079513,0.11787974683544304,0.11046931914160135,16.75852831708356
60,0.13291139240506328,0.26584681580725883,0.13291139240506328,0.12775830665466742,15.761149447398408
61,0.13924050632911392,0.24809667082214545,0.13924050632911392,0.13614100605793644,15.550987483625793
62,0.1194620253164557,0.21690934548925053,0.1194620253164557,0.1136469499206841,15.454353454720055
63,0.1360759493670886,0.2821249623267028,0.1360759493670886,0.1312978161079427,15.931721300302645
64,0.13686708860759494,0.25395381253767335,0.13686708860759494,0.12976425385444373,15.990290301494651
65,0.1360759493670886,0.24585154209363072,0.1360759493670886,0.1267831719967796,15.482009491261964
66,0.1305379746835443,0.2468218709911748,0.1305379746835443,0.1265384280648614,15.941088067988597
67,0.11708860759493671,0.2298212402049427,0.11708860759493671,0.11193858883732301,16.192538164305567
68,0.127373417721519,0.2371674475313716,0.127373417721519,0.1210193826246972,16.28660699426474
69,0.12420886075949367,0.2473704038577456,0.12420886075949367,0.12315423676183171,16.001816895713873
70,0.1281645569620253,0.24504690325497291,0.1281645569620253,0.12321611668921797,16.234883904234394
71,0.14319620253164558,0.2654551562186056,0.14319620253164558,0.13964406703732446,16.446605519128124
72,0.1337025316455696,0.2718693775458016,0.1337025316455696,0.1308474722100932,16.3007809466079
73,0.13212025316455697,0.25504317456453535,0.13212025316455697,0.12758589423937525,15.50844184819433
74,0.13132911392405064,0.24635228300180834,0.13132911392405064,0.12475341114581621,16.291856537274075
75,0.12895569620253164,0.2364577054450472,0.12895569620253164,0.12475047368243569,15.91871734239614
76,0.1305379746835443,0.25483825026942114,0.1305379746835443,0.12463911223218743,15.912676596089684
77,0.1281645569620253,0.253265960920233,0.1281645569620253,0.12092297207012397,16.19343158785285
78,0.13844936708860758,0.26235276019690573,0.13844936708860758,0.13697591396772335,15.449998012358915
79,0.13924050632911392,0.2739985181836448,0.13924050632911392,0.13459914294566194,16.075480268376793
80,0.1337025316455696,0.24372776704659613,0.1337025316455696,0.12974533035448307,15.991439619201675
81,0.12658227848101267,0.22874064446453685,0.12658227848101267,0.12210802558903824,16.419832448658926
82,0.1518987341772152,0.28898338607594937,0.1518987341772152,0.14961860836069696,15.61351861927346
83,0.12974683544303797,0.23471531545107494,0.12974683544303797,0.1243628917516669,15.710596948348968
84,0.12420886075949367,0.25080463883865783,0.12420886075949367,0.12174177791266398,15.960274197238185
85,0.14715189873417722,0.2837151179516686,0.14715189873417722,0.14305301765744804,16.002335362740634
86,0.1337025316455696,0.2429132246972437,0.1337025316455696,0.13107191521373734,15.426763550038979
87,0.13765822784810128,0.25820978204285167,0.13765822784810128,0.1323313226805874,16.148467088866052
88,0.1439873417721519,0.30485954139039584,0.1439873417721519,0.14105653488564882,15.773222276887127
